time,nudge,attn
1749216635.8294737,False,
1749216635.8986282,False,
1749216635.9323215,False,
1749216635.9579718,False,
1749216635.986749,False,
1749216636.0134096,False,
1749216636.0402877,False,
1749216636.0660434,False,
1749216636.1515062,False,
1749216636.1801858,False,
1749216636.2061348,False,
1749216636.2341373,False,
1749216636.2657642,False,
1749216636.3161001,False,
1749216636.3455825,False,
1749216636.3761113,False,
1749216636.4106026,False,
1749216636.441842,False,
1749216636.4740827,False,
1749216636.5053205,False,
1749216636.5431833,False,
1749216636.5773342,False,
1749216636.6176717,False,
1749216636.650134,False,
1749216636.7031093,False,
1749216636.737458,False,
1749216636.7730854,False,
1749216636.8123977,False,
1749216636.8502283,False,
1749216636.8867443,False,
1749216636.9241276,False,
1749216636.9580736,False,
1749216636.9991896,False,
1749216637.0452995,False,
1749216637.075761,False,
1749216637.098542,False,
1749216637.120542,False,
1749216637.1403031,False,
1749216637.1601048,False,
1749216637.1772761,False,
1749216637.2085989,False,
1749216637.2418969,False,
1749216637.27295,False,
1749216637.3037698,False,
1749216637.345495,False,
1749216637.380373,False,
1749216637.4134598,False,
1749216637.4415295,False,
1749216637.4732728,False,
1749216637.5046508,False,
1749216637.538509,False,
1749216637.5727527,False,
1749216637.60403,False,
1749216637.6349893,False,
1749216637.665348,False,
1749216637.7131467,False,
1749216637.7468119,False,
1749216637.778396,False,
1749216637.8131254,False,
1749216637.8345418,False,
1749216637.8573477,False,
1749216637.888795,False,
1749216637.9345562,False,
1749216637.9846127,False,
1749216638.0175872,False,
1749216638.051115,False,
1749216638.0855544,False,
1749216638.117244,False,
1749216638.1553524,False,
1749216638.2007155,False,
1749216638.228999,False,
1749216638.254172,False,
1749216638.2775762,False,
1749216638.3193755,False,
1749216638.3504906,False,
1749216638.3830035,False,
1749216638.4169855,False,
1749216638.4506361,False,
1749216638.4843602,False,
1749216638.5344827,False,
1749216638.5564969,False,
1749216638.5833757,False,
1749216638.6318336,False,
1749216638.6527095,False,
1749216638.6727602,False,
1749216638.6905792,False,
1749216638.7236128,False,
1749216638.756789,False,
1749216638.7917218,False,
1749216638.8237996,False,
1749216638.856829,False,
1749216638.9336472,False,
1749216638.9678748,False,
1749216638.9992814,False,
1749216639.036766,False,
1749216639.067117,False,
1749216639.0990884,False,
1749216639.1322303,False,
1749216639.169379,False,
1749216639.203595,False,
1749216639.2245305,False,
1749216639.2441494,False,
1749216639.2635107,False,
1749216639.325979,False,
1749216639.3613045,False,
1749216639.3870387,False,
1749216639.416678,False,
1749216639.4512,False,
1749216639.4763687,False,
1749216639.50139,False,
1749216639.530574,False,
1749216639.5641985,False,
1749216639.6026103,False,
1749216639.640116,False,
1749216639.6571612,False,
1749216639.730362,False,
1749216639.7629042,False,
1749216639.795904,False,
1749216639.8305564,False,
1749216639.8659031,False,
1749216639.8992689,False,
1749216639.9292085,False,
1749216639.9526074,False,
1749216639.9807143,False,
1749216640.0135128,False,
1749216640.0448139,False,
1749216640.0709743,False,
1749216640.1300983,False,
1749216640.1678655,False,
1749216640.1985936,False,
1749216640.2327752,False,
1749216640.261483,False,
1749216640.2864492,False,
1749216640.3119552,False,
1749216640.3437054,False,
1749216640.3799918,False,
1749216640.4065804,False,
1749216640.4355154,False,
1749216640.4638588,False,
1749216640.5301762,False,
1749216640.5642796,False,
1749216640.6006558,False,
1749216640.6353211,False,
1749216640.6763408,False,
1749216640.7180347,False,
1749216640.7583356,False,
1749216640.79484,False,
1749216640.8324497,False,
1749216640.8766265,False,
1749216640.913805,False,
1749216640.9569137,False,
1749216641.0022984,False,
1749216641.0387084,False,
1749216641.0800028,False,
1749216641.1129525,False,
1749216641.1586394,False,
1749216641.1930792,False,
1749216641.2269864,False,
1749216641.2588725,False,
1749216641.286777,False,
1749216641.314445,False,
1749216641.3458955,False,
1749216641.405952,False,
1749216641.4519105,False,
1749216641.5040722,False,
1749216641.5373318,False,
1749216641.561672,False,
1749216641.5869498,False,
1749216641.6132283,False,
1749216641.643977,False,
1749216641.6719072,False,
1749216641.6992674,False,
1749216641.726934,False,
1749216641.7587535,False,
1749216641.7833276,False,
1749216641.8298109,False,
1749216641.8739893,False,
1749216641.922337,False,
1749216641.9686635,False,
1749216642.015094,False,
1749216642.0502968,False,
1749216642.0890992,False,
1749216642.1275027,False,
1749216642.1661882,False,
1749216642.1903105,False,
1749216642.214556,False,
1749216642.238938,False,
1749216642.2651584,False,
1749216642.2913034,False,
1749216642.3236568,False,
1749216642.3507462,False,
1749216642.3829443,False,
1749216642.4210458,False,
1749216642.4615085,False,
1749216642.5002167,False,
1749216642.5452096,False,
1749216642.5911486,False,
1749216642.6346314,False,
1749216642.6779072,False,
1749216642.7145317,False,
1749216642.7574959,False,
1749216642.7976253,False,
1749216642.8350515,False,
1749216642.8741019,False,
1749216642.9168975,False,
1749216642.9531484,False,
1749216642.9838707,False,
1749216643.027011,False,
1749216643.0498176,False,
1749216643.0732238,False,
1749216643.1105065,False,
1749216643.1573832,False,
1749216643.2104208,False,
1749216643.2617624,False,
1749216643.2941632,False,
1749216643.3164947,False,
1749216643.3357785,False,
1749216643.364495,False,
1749216643.3963482,False,
1749216643.4285092,False,
1749216643.460432,False,
1749216643.4921434,False,
1749216643.5207424,False,
1749216643.5503063,False,
1749216643.5798457,False,
1749216643.6158628,False,
1749216643.6500773,False,
1749216643.681042,False,
1749216643.708069,False,
1749216643.7401805,False,
1749216643.773275,False,
1749216643.8070867,False,
1749216643.8425791,False,
1749216643.8719478,False,
1749216643.8998127,False,
1749216643.9363277,False,
1749216643.97453,False,
1749216644.0116713,False,
1749216644.04898,False,
1749216644.0861673,False,
1749216644.1245694,False,
1749216644.1680427,False,
1749216644.2151191,False,
1749216644.2511842,False,
1749216644.2910075,False,
1749216644.325411,False,
1749216644.3681567,False,
1749216644.4071534,False,
1749216644.4501302,False,
1749216644.473204,False,
1749216644.5180397,False,
1749216644.5486517,False,
1749216644.5838652,False,
1749216644.6105049,False,
1749216644.6394672,False,
1749216644.666936,False,
1749216644.7001972,False,
1749216644.7381492,False,
1749216644.7735448,False,
1749216644.8162682,False,
1749216644.859858,False,
1749216644.902447,False,
1749216644.9434495,False,
1749216644.983226,False,
1749216645.0168889,False,
1749216645.0609543,False,
1749216645.109129,False,
1749216645.1431305,False,
1749216645.1905775,False,
1749216645.2333357,False,
1749216645.2726388,False,
1749216645.3236105,False,
1749216645.3415928,False,
1749216645.3744292,False,
1749216645.407521,False,
1749216645.4401968,False,
1749216645.4888952,False,
1749216645.5232003,False,
1749216645.5583768,False,
1749216645.5899775,False,
1749216645.622905,False,
1749216645.6400425,False,
1749216645.6733973,False,
1749216645.7099724,False,
1749216645.7425823,False,
1749216645.7758093,False,
1749216645.8215292,False,
1749216645.8389707,False,
1749216645.8733835,False,
1749216645.9074798,False,
1749216645.939975,False,
1749216645.980963,False,
1749216646.0113366,False,
1749216646.039648,False,
1749216646.0716844,False,
1749216646.1336253,False,
1749216646.1689832,False,
1749216646.2029831,False,
1749216646.237257,False,
1749216646.2687275,False,
1749216646.3005319,False,
1749216646.3340507,False,
1749216646.3633726,False,
